20
8 2 3 5 7 8 9 16 18
8 1 4 7 8 10 15 17 20
6 1 5 9 10 12 14
5 9 2 20 6 18
8 1 3 6 9 11 17 18 20
6 4 5 7 11 14 20
10 1 2 6 9 12 13 14 15 16 17
5 1 10 2 15 17
9 1 3 4 5 7 10 13 16 20
7 2 3 8 9 11 12 20
9 5 6 10 12 13 14 16 17 19
6 3 7 10 11 15 18
5 9 17 11 19 7
6 3 6 7 11 17 18
7 2 7 8 12 16 17 19
5 9 1 11 15 7
8 2 5 7 8 11 13 14 15
6 1 4 5 12 14 19
4 18 11 13 15
6 2 4 5 6 9 10
4 35
8 10
8 20
7 10
7 35
4 10
10 10
1 10
6 15
4 40
1 40
2 15
10 35
3 25
5 15
1 30
1 40
5 15
9 35
6 30
1 2 35
1 3 5
1 5 30
1 7 5
1 8 5
1 9 15
1 16 30
1 18 5
2 4 30
2 7 25
2 8 35
2 10 20
2 15 30
2 17 25
2 20 30
3 5 35
3 9 25
3 10 35
3 12 30
3 14 30
4 9 40
4 20 30
4 6 40
4 18 15
5 6 20
5 9 30
5 11 30
5 17 5
5 18 25
5 20 25
6 7 30
6 11 30
6 14 10
6 20 20
7 9 30
7 12 35
7 13 40
7 14 10
7 15 35
7 16 30
7 17 5
8 10 20
8 15 30
8 17 15
9 10 15
9 13 5
9 16 30
9 20 35
10 11 30
10 12 25
10 20 10
11 12 30
11 13 30
11 14 25
11 16 5
11 17 40
11 19 10
12 15 10
12 18 30
13 17 5
13 19 10
14 17 10
14 18 35
15 16 10
15 17 30
15 19 30
18 19 30
