40
19 2 3 7 39 34 9 11 40 35 15 17 23 25 8 28 29 38 31 32
13 1 35 4 7 10 11 14 18 36 22 23 28 32
19 1 34 35 4 5 6 7 8 9 29 12 13 17 33 26 28 37 31 38
20 33 2 3 35 5 7 39 9 12 13 14 15 18 19 20 21 23 25 37 30
14 33 3 4 37 38 8 10 12 13 20 22 24 29 31
18 33 34 3 38 8 9 13 35 16 17 18 19 20 23 25 29 30 31
20 1 2 3 36 37 33 9 10 11 40 13 14 15 16 18 4 24 8 26 31
14 1 3 5 6 7 11 15 16 18 21 22 23 24 27
13 1 3 4 37 6 7 40 35 15 14 17 19 30
12 2 35 5 38 7 11 15 16 20 22 27 29
14 33 2 37 38 7 8 10 12 15 18 19 23 40 1
13 33 3 4 5 11 15 17 36 21 23 37 28 29
13 33 34 35 4 5 6 7 3 16 19 21 26 31
13 2 4 7 40 9 17 21 22 24 25 28 30 32
17 1 33 36 7 39 8 9 10 11 12 19 4 21 22 28 30 31
16 33 37 6 7 8 10 13 19 20 21 22 25 26 30 31 38
22 1 3 6 9 12 14 18 19 20 21 22 24 25 26 27 30 31 32 35 36 39 40
16 33 2 4 37 38 39 8 32 11 17 22 25 7 28 29 6
16 4 6 39 40 9 11 13 15 16 17 36 23 26 28 29 31
14 34 4 5 38 39 10 16 17 36 24 25 30 31 6
17 4 39 8 12 13 14 15 16 17 36 23 24 25 26 28 29 31
16 2 5 39 8 10 40 14 15 16 17 18 24 26 29 31 32
16 1 2 35 36 37 6 34 11 12 19 4 21 25 8 28 38
12 5 7 39 8 40 14 17 20 21 22 27 38
18 33 1 35 4 6 39 14 16 17 18 20 21 23 26 27 28 30 31
19 33 34 3 36 37 7 40 13 16 17 19 21 22 25 27 28 30 31 32
9 33 39 8 10 17 24 25 26 29
14 1 34 3 2 12 14 15 18 19 21 23 25 26 30
14 33 1 3 5 6 40 10 12 18 19 21 22 27 31
15 34 35 4 6 40 9 14 15 16 17 20 25 26 28 31
23 1 3 5 6 7 13 15 16 17 19 20 21 22 25 26 29 30 33 36 37 38 39 40
10 1 33 36 38 2 14 17 18 22 26
21 3 36 5 6 7 40 11 12 13 15 16 18 4 26 25 37 27 29 38 31 32
10 1 3 6 39 13 20 23 26 28 30
13 1 2 3 4 38 9 10 13 17 23 25 30 6
15 33 2 39 7 12 15 17 19 20 21 23 26 38 31 32
14 33 3 4 5 38 7 9 11 12 16 18 23 26 31
19 1 33 3 36 37 6 39 40 10 11 35 16 18 20 23 24 5 31 32
16 1 34 4 38 20 15 17 18 19 36 21 22 24 25 27 31
15 1 33 38 7 9 11 14 17 19 22 24 26 29 30 31
20 30
13 20
20 10
6 25
32 35
39 20
30 15
10 20
6 30
13 15
7 25
9 40
39 20
12 20
2 20
15 30
29 10
31 20
30 20
35 15
30 10
33 25
19 30
24 15
19 15
29 35
2 35
35 40
24 35
14 20
21 40
6 20
2 15
35 15
3 40
32 25
17 20
14 20
31 30
10 15
1 2 25
1 3 30
1 7 45
1 39 50
1 34 35
1 9 30
1 11 45
1 40 45
1 35 45
1 15 45
1 17 30
1 23 35
1 25 30
1 8 30
1 28 40
1 29 30
1 38 40
1 31 30
1 32 50
2 35 35
2 4 45
2 7 40
2 10 45
2 11 40
2 14 40
2 18 30
2 36 30
2 22 30
2 23 45
2 28 35
2 32 30
3 34 35
3 35 40
3 4 50
3 5 45
3 6 40
3 7 40
3 8 30
3 9 45
3 29 25
3 12 45
3 13 30
3 17 25
3 33 50
3 26 35
3 28 40
3 37 35
3 31 45
3 38 30
4 33 50
4 35 45
4 5 50
4 7 35
4 39 50
4 9 30
4 12 30
4 13 40
4 14 45
4 15 30
4 18 45
4 19 45
4 20 30
4 21 25
4 23 40
4 25 25
4 37 40
4 30 50
5 33 40
5 37 40
5 38 35
5 8 30
5 10 50
5 12 25
5 13 40
5 20 45
5 22 35
5 24 50
5 29 50
5 31 45
6 33 40
6 34 30
6 38 40
6 8 45
6 9 40
6 13 50
6 35 30
6 16 45
6 17 25
6 18 50
6 19 25
6 20 25
6 23 30
6 25 40
6 29 25
6 30 25
6 31 50
7 36 45
7 37 50
7 33 30
7 9 30
7 10 40
7 11 25
7 40 40
7 13 40
7 14 50
7 15 35
7 16 25
7 18 25
7 24 25
7 8 35
7 26 30
7 31 40
8 11 45
8 15 35
8 16 40
8 18 25
8 21 25
8 22 25
8 23 25
8 24 40
8 27 35
9 37 45
9 40 45
9 35 25
9 15 50
9 14 30
9 17 35
9 19 50
9 30 30
10 35 30
10 38 45
10 11 50
10 15 40
10 16 30
10 20 35
10 22 40
10 27 25
10 29 30
11 33 25
11 37 45
11 38 35
11 12 40
11 15 45
11 18 25
11 19 45
11 23 35
11 40 35
12 33 50
12 15 45
12 17 50
12 36 45
12 21 40
12 23 40
12 37 45
12 28 30
12 29 25
13 33 25
13 34 30
13 35 45
13 16 40
13 19 30
13 21 30
13 26 35
13 31 50
14 40 25
14 17 45
14 21 25
14 22 30
14 24 45
14 25 30
14 28 35
14 30 50
14 32 45
15 33 30
15 36 25
15 39 25
15 19 30
15 21 45
15 22 30
15 28 50
15 30 30
15 31 30
16 33 30
16 37 25
16 19 50
16 20 50
16 21 50
16 22 40
16 25 35
16 26 35
16 30 25
16 31 45
16 38 35
17 18 35
17 19 35
17 20 35
17 21 40
17 22 30
17 24 30
17 25 35
17 26 35
17 27 30
17 30 45
17 31 40
17 32 30
17 35 50
17 36 25
17 39 50
17 40 30
18 33 50
18 37 25
18 38 30
18 39 40
18 32 35
18 22 50
18 25 30
18 28 40
18 29 35
19 39 30
19 40 35
19 36 50
19 23 50
19 26 25
19 28 40
19 29 35
19 31 45
20 34 50
20 38 30
20 39 50
20 36 40
20 24 45
20 25 45
20 30 25
20 31 40
21 39 25
21 36 25
21 23 40
21 24 40
21 25 30
21 26 25
21 28 25
21 29 50
21 31 45
22 39 50
22 40 50
22 24 30
22 26 25
22 29 35
22 31 35
22 32 25
23 35 30
23 36 30
23 37 40
23 34 25
23 25 45
23 28 50
23 38 45
24 39 35
24 40 25
24 27 50
